id,title,author,nicknames,suite,performances,copy_id,core_gd,cover_gd,cover_jg,core_jrad,aka,debut_gd,notes,abbrev
197,She Does It Right,Dr. Feelgood,,,2481,197,,,,,,,,
213,Such a Night,Dr. John,,,291:568:1880:1955:2241:3284:3480:3674:4868:5416,213,,,,,,,,
319,Take the 'A' Train,Duke Ellington,,,,319,,,,,,,,
794,Six Days on the Road,Earl Green & Carl Montgomery (Dave Dudley),,,4568:4724:4923,794,,,TRUE,,,,https://en.wikipedia.org/wiki/Six_Days_on_the_Road,
286,Serpentine Fire,Earth Wind & Fire,,,,286,,,,,,,,
832,Summertime Blues,"Eddie Cochran, Jerry Capehart (Eddie Cochran; the Who)",,,5373,832,,,,,,1958,,
611,The Things I Used to Do,Eddie Jones (Guitar Slim),,,,611,,TRUE,,,,1969,,
689,Bo Diddley,Ellas McDaniel (Bo Diddley),,,,689,,TRUE,,,,1972,"same as ""hey bo diddley""?",
688,Hey Bo Diddley,Ellas McDaniel (Bo Diddley),,,,688,,TRUE,,,,1972,,
676,I'm a Man,Ellas McDaniel (Bo Diddley),,,,676,,TRUE,,,,1972,,
532,Mona,Ellas McDaniel (Bo Diddley),,,,532,,TRUE,,,,1972,,
625,Say Boss Man,Ellas McDaniel (Bo Diddley),,,,625,,TRUE,,,Eighteen Children,1972,,
589,Who Do You Love?,Ellas McDaniel (Bo Diddley),,,,589,,TRUE,,,,1972,,
792,"Rocket Man (I Think It's Going to Be a Long, Long Time)",Elton John & Bernie Taupin,Rocket Man,,,792,,,,,Rocketman,1972,https://en.wikipedia.org/wiki/Rocket_Man_(song),
317,Saturday Night's Alright for Fighting,Elton John & Bernie Taupin,Saturday Night's Alright,,,317,,,,,Saturday Night's All Right,1973,https://en.wikipedia.org/wiki/Saturday_Night's_Alright_for_Fighting,
655,Long Tall Sally,"Enortis Johnson, Robert Blackwell, Richard Penniman (Little Richard)",,,,655,,,,,,1988,,
429,Bad Love,Eric Clapton,,,,429,,,,,,,,
330,Lay Down Sally,Eric Clapton,,,,330,,,,,,,,
519,Keep on Growing,Eric Clapton & Bobby Whitlock,,,,519,,TRUE,,,,1985,,
746,Banana Boat Song,"Erik Darling, Bob Carey, Alan Arkin (The Tarriers; Harry Belafonte)",,,,746,,TRUE,,,Day-O,1987,,
617,Take It All Off,Eva Darby,,,,617,,TRUE,,,,1972,,
114,I'm Writing a Novel,Father John Misty,Writing a Novel,,1143,114,,,,,,,,
731,Bye Bye Love,Felice Bryant & Boudleaux Bryant (Everly Brothers),,,,731,,TRUE,,,,1981,,
582,Wake Up Little Susie,Felice Bryant & Boudleaux Bryant (Everly Brothers),,,,582,,TRUE,,,Wake Up Little Suzy,1970,,
314,Rhiannon,Fleetwood Mac,,,,314,,,,,Riannon,,,
646,New Orleans,Frank Guida & Joseph Royster,,,,646,,TRUE,,,,1969,,
279,Inca Roads,Frank Zappa,,,,279,,,,,,,,
683,(Baby) Hully Gully,Fred Smith & Clifford Goldsmith,,,,683,,TRUE,,,,1981,,
692,Heads Up,Freddie King & Sonny Thompson,,,,692,,TRUE,,,,1966,,
799,Marche funèbre,Frédéric Chopin,,,,799,,,,,Funeral March,,,
478,Devil with the Blue Dress On,Frederick Long & William Stevenson,Devil with Blue Dress,,,478,,TRUE,,,,1987,,
267,When U Love Somebody,Fruit Bats,,,3548:3770,267,,,,,,,,
558,Sand Castles and Glass Camels,Garcia – Godchaux – Godchaux – Hart – Kreutzmann – Lesh – Weir (Grateful Dead),,,,558,TRUE,,,,,1975,,
559,Unusual Occurrences in the Desert,Garcia – Godchaux – Godchaux – Hart – Kreutzmann – Lesh – Weir (Grateful Dead),,,,559,TRUE,,,,,1975,,
636,Proto 18 Proper,Garcia – Godchaux – Hart – Kreutzmann – Lesh – Weir (Grateful Dead),,,,636,,TRUE,,,,1975,,
729,Can't Come Down,Garcia – Kreutzmann – Lesh – McKernan – Weir (Grateful Dead),,,,729,TRUE,,,,,1965,,
564,Standing on the Corner,Garcia – Kreutzmann – Lesh – McKernan – Weir (Grateful Dead),,,,564,TRUE,,,,,1966,,
593,You Don't Have to Ask,Garcia – Kreutzmann – Lesh – McKernan – Weir (Grateful Dead),,,,593,TRUE,,,,Otis on a Shakedown Cruise,1966,,
819,Nearly Lost You,"Gary Lee Conner, Van Conner, Mark Lanegan (Screaming Trees)",,,5128,819,,,,,,1992,https://en.wikipedia.org/wiki/Nearly_Lost_You,
